,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE
120156,027-001-229,STRATA,601108930056,60110893,RM-6,Multiple Family Dwelling,56,,BCS2243,185,1403,1925.0,ALBERNI ST,V6G 0A3,LOT 56  PLAN BCS2243  DISTRICT LOT ,185  NEW WESTMINSTER GROUP 1.,,,,2398000.0,357000.0,2018.0,2017000.0,358000.0,2007.0,2007.0,,27
77956,018-984-622,STRATA,690165550040,69016555,RM-4,Multiple Family Dwelling,40,,LMS1583,472,407,569.0,16TH AVE W,V5Z 4N7,LOT 40  PLAN LMS1583  DISTRICT LOT ,472  NEW WESTMINSTER UNDIV 150/1000,0 SHARE IN COM PROP THEREIN.,,,336000.0,79800.0,2018.0,265000.0,81300.0,1994.0,1994.0,,7
168736,023-816-091,STRATA,770211600054,77021160,C-2,Commercial,54,,LMS2867,301,301,760.0,KINGSWAY,V5V 3C1,LOT 54  PLAN LMS2867  DISTRICT LOT ,301  NEW WESTMINSTER UNDIV 84/5554 ,SHARE IN COM PROP THEREIN.,,,381000.0,169000.0,2018.0,266000.0,171000.0,1997.0,1997.0,,15
148511,013-330-233,LAND,268695840000,26869584,CD-1 (310),Comprehensive Development,26,24&25,VAP2910,195,,3590.0,WALKER ST,,LOT 26  BLOCK 24&25  PLAN VAP2910  ,DISTRICT LOT 195  NEW WESTMINSTER,,,,1402000.0,0.0,2018.0,1316000.0,0.0,,,,14
135602,015-160-572,STRATA,636124850059,63612485,FCCDD,Comprehensive Development,59,,VAS2535,FC,759,1515.0,2ND AVE W,V6J 5C5,LOT 59  PLAN VAS2535  DISTRICT LOT ,FC  NEW WESTMINSTER UNDIV 189/6074 ,SHARE IN COM PROP THEREIN.,,,1119000.0,528000.0,2018.0,961000.0,536000.0,1989.0,1989.0,,7
68957,018-682-669,STRATA,157608950127,15760895,CD-1 (266),Comprehensive Development,127,,LMS1306,FC,1004,283.0,DAVIE ST,V6B 5T6,LOT 127  PLAN LMS1306  DISTRICT LOT, FC  NEW WESTMINSTER UNDIV 1165/191,143 SHARE IN COM PROP THEREIN.,,,724000.0,315000.0,2018.0,612000.0,319000.0,1994.0,1994.0,,30
67437,023-673-966,STRATA,148612020047,14861202,HA-3,Historic Area,47,,LMS2686,541,509,1216.0,HOMER ST,V6B 6K5,LOT 47  PLAN LMS2686  DISTRICT LOT ,"541  NEW WESTMINSTER GROUP 1, UNDIV", 648/43842 SHARE IN COM PROP THEREI,N.,,,,,,,1910.0,1997.0,,29
9213,013-478-176,STRATA,646077400001,64607740,RT-8,Two Family Dwelling,1,,VAS2389,526,,2460.0,7TH AVE W,V6K 1Y7,LOT 1  PLAN VAS2389  DISTRICT LOT 5,26  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",1560000.0,191000.0,2018.0,1515000.0,189000.0,1912.0,1977.0,,2
40340,015-367-266,LAND,586274840000,58627484,RS-1,One Family Dwelling,14,34,VAP364,THSL,,2686.0,TRIUMPH ST,V5K 1S9,LOT 14  BLOCK 34  PLAN VAP364  DIST,RICT LOT THSL  NEW WESTMINSTER,,,,1360000.0,255000.0,2018.0,1325000.0,260000.0,1992.0,1992.0,,20
71758,015-025-101,LAND,655222290000,65522229,RT-5,Two Family Dwelling,20,159,VAP1023,264A,,1129.0,10TH AVE E,V5T 2B6,LOT 20  BLOCK 159  PLAN VAP1023  DI,"STRICT LOT 264A  NWD OF LOT A, & PL", 1771.,,,1575000.0,154000.0,2018.0,1500000.0,285000.0,1909.0,1970.0,,13
192038,006-407-242,STRATA,641234510007,64123451,RM-4,Multiple Family Dwelling,7,,VAS1318,264A,201,1595.0,6TH AVE E,V5N 5S1,LOT 7  PLAN VAS1318  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 48500/28,85000 SHARE IN COM PROP THEREIN.,,,245000.0,60800.0,2018.0,206000.0,63600.0,1983.0,1983.0,,14
129635,005-298-849,STRATA,636146070021,63614607,FCCDD,Comprehensive Development,21,,VAS514,FC,,1132.0,FOUNDRY QUAY,V6H 3P2,LOT 21  PLAN VAS514  DISTRICT LOT F,C  NEW WESTMINSTER UNDIV 1183/44784, SHARE IN COM PROP THEREIN.,,,870000.0,83700.0,2018.0,795000.0,85800.0,1978.0,1978.0,,7
82799,029-957-443,STRATA,600118510163,60011851,CD-1 (446),Comprehensive Development,163,,EPS2884,185,5303,1151.0,GEORGIA ST W,V6E 0B3,LOT 163  PLAN EPS2884  DISTRICT LOT," 185  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,3099000.0,864000.0,2018.0,2826000.0,864000.0,,,,26
131461,018-543-456,STRATA,603118890006,60311889,RM-5B,Multiple Family Dwelling,6,,LMS1153,185,110,1111.0,HARO ST,V6E 1E3,LOT 6  PLAN LMS1153  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 1258/6057,4 SHARE IN COM PROP THEREIN.,,,810000.0,394000.0,2018.0,675000.0,399000.0,1994.0,1994.0,,27
24384,005-313-023,LAND,688020870000,68802087,RS-1,One Family Dwelling,2,160,VAP2949,540,,4607.0,15TH AVE W,V6R 3B5,LOT 2  BLOCK 160  PLAN VAP2949  DIS,TRICT LOT 540  NWD OF LOT 2.,,,,2830000.0,59100.0,2018.0,2925000.0,59500.0,1941.0,1941.0,,1
156905,003-853-608,STRATA,613119390010,61311939,RM-5A,Multiple Family Dwelling,10,,VAS322,185,204,1045.0,BURNABY ST,V6E 1N9,LOT 10  PLAN VAS322  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 255/10000, SHARE IN COM PROP THEREIN.,,,337000.0,50400.0,2018.0,288000.0,54700.0,1975.0,1975.0,,27
148104,010-097-899,LAND,52691200000,5269120,RS-1,One Family Dwelling,38,Y,VAP8426,139,,3238.0,PUGET DR,V6L 2T5,LOT 38  BLOCK Y  PLAN VAP8426  DIST,RICT LOT 139  NEW WESTMINSTER,,,,3478000.0,1617000.0,2018.0,3785000.0,593000.0,1952.0,1952.0,,4
140251,005-396-280,STRATA,648149720027,64814972,C-3A,Commercial,27,,VAS1767,526,403,1040.0,8TH AVE W,V6H 1C4,LOT 27  PLAN VAS1767  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 681/2445,4 SHARE IN COM PROP THEREIN.,,,587000.0,155000.0,2018.0,476000.0,160000.0,1987.0,1987.0,,7
30136,028-919-335,STRATA,130690080003,13069008,CD-1 (476),Comprehensive Development,3,,EPS922,526,,3240.0,GRANVILLE ST,V6H 3K3,LOT 3  PLAN EPS922  DISTRICT LOT 52,"6  NWD GROUP 1, TOGETHER WITH AN IN",TEREST IN THE COMMON PROPERTY IN PR,OPORTION TO THE UNIT ENTITLEMENT OF, THE STRATA LOT AS SHOWN ON FORM 1 ,1877000.0,638000.0,2018.0,1943000.0,642000.0,2012.0,2012.0,,8
152406,026-602-601,STRATA,640170920057,64017092,C-3A,Commercial,57,,BCS1729,302,507,2055.0,YUKON ST,V5Y 4B7,LOT 57  PLAN BCS1729  DISTRICT LOT ,302  NEW WESTMINSTER GROUP 1.,,,,447000.0,185000.0,2018.0,365000.0,187000.0,2006.0,2006.0,,13
204615,012-818-801,LAND,153826310000,15382631,RT-2,Two Family Dwelling,44,B,VAP3498,319,,8331.0,LAUREL ST,V6P 3V4,LOT 44  BLOCK B  PLAN VAP3498  DIST,"RICT LOT 319  NWD OF LOT 27, & DL 3",23 & 324.,,,1797000.0,76100.0,2018.0,1772000.0,79300.0,1971.0,1971.0,,12
193231,030-097-665,STRATA,250790630012,25079063,C-2,Commercial,12,1,EPS4079,735,209,6555.0,VICTORIA DR,,LOT 12  BLOCK 1  PLAN EPS4079  DIST,"RICT LOT 735  NWD GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,355000.0,86600.0,2018.0,,,,,,17
139274,019-179-898,STRATA,156602080010,15660208,DD,Comprehensive Development,10,,LMS1863,541,210,838.0,HAMILTON ST,V6B 6A2,LOT 10  PLAN LMS1863  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 385/1274,84 SHARE IN COM PROP THEREIN.,,,71100.0,106000.0,2018.0,30600.0,107000.0,1995.0,1995.0,,29
146256,023-112-981,LAND,795216910000,79521691,CD-1 (4),Comprehensive Development,4,,LMP23980,660,,1025.0,52ND AVE E,V5X 4W6,LOT 4  PLAN LMP23980  DISTRICT LOT ,660  NEW WESTMINSTER,,,,6882000.0,653000.0,2018.0,6882000.0,653000.0,1996.0,1996.0,,17
101740,025-896-385,STRATA,160604910121,16060491,DD,Comprehensive Development,121,,BCS741,FC,1705,989.0,BEATTY ST,V6Z 3C2,LOT 121  PLAN BCS741  DISTRICT LOT ,FC  NEW WESTMINSTER UNDIV 54/10654 ,SHARE IN COM PROP THEREIN.,,,386000.0,231000.0,2018.0,288000.0,233000.0,2004.0,2004.0,,29
52190,010-720-260,LAND,60710660000,6071066,RS-1,One Family Dwelling,16,C,VAP7123,2027,,4256.0,QUESNEL DR,V6L 2X6,LOT 16  BLOCK C  PLAN VAP7123  DIST,RICT LOT 2027  NEW WESTMINSTER,,,,4615000.0,45200.0,2018.0,4986000.0,45200.0,1944.0,1944.0,,4
124094,010-020-241,LAND,701273290000,70127329,RS-1,One Family Dwelling,B,1,VAP8622,THSL,,2535.0,23RD AVE E,V5R 1A3,LOT B  BLOCK 1  SECTION 46  PLAN VA,P8622  DISTRICT LOT THSL  NWD PART ,"NW 1/4, OF LOTS 12 TO 14.",,,1690000.0,150000.0,2018.0,1690000.0,157000.0,1978.0,1978.0,,22
102072,006-002-111,STRATA,576267040002,57626704,RM-3A,Multiple Family Dwelling,2,,VAS836,184,102,2328.0,CAMBRIDGE ST,V5L 1E7,LOT 2  PLAN VAS836  DISTRICT LOT 18,4  NEW WESTMINSTER UNDIV 24/1000 SH,ARE IN COM PROP THEREIN.,,,213000.0,44500.0,2018.0,179000.0,47000.0,1980.0,1980.0,,14
98922,025-986-414,STRATA,138616070086,13861607,CD-1 (366),Comprehensive Development,86,,BCS890,,1707,1495.0,RICHARDS ST,V6Z 3E3,LOT 86  PLAN BCS890  NEW WESTMINSTE,"R DISTRICT LOT FALSE CREEK, UNDIV 5",2/16900 SHARE IN COM PROP THEREIN.,,,431000.0,189000.0,2018.0,413000.0,190000.0,2004.0,2004.0,,30
11691,028-886-691,STRATA,638172040107,63817204,CD-1 (483),Comprehensive Development,107,,EPS800,302,908,288.0,1ST AVE W,V5Y 0E9,LOT 107  PLAN EPS800  DISTRICT LOT ,"302  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,597000.0,192000.0,2018.0,451000.0,194000.0,2012.0,2012.0,,13
26630,005-603-897,STRATA,790170580013,79017058,CD-1 (103),Comprehensive Development,13,,VAS656,526,,6569.0,PINEHURST DR,V5X 4N9,LOT 13  PLAN VAS656  DISTRICT LOT 5,26  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,ATA LOT AS SHOWN ON FORM 1.,1504000.0,168000.0,2018.0,1448000.0,175000.0,1979.0,1979.0,,11
75491,013-551-973,LAND,807199480000,80719948,RS-1,One Family Dwelling,23,2,VAP2683,657,,580.0,56TH AVE E,V5X 1R7,LOT 23  BLOCK 2  PLAN VAP2683  DIST,RICT LOT 657  NWD GROUP 1.,,,,1426000.0,256000.0,2018.0,1411000.0,235000.0,1995.0,1995.0,,17
8483,018-358-829,STRATA,617121030083,61712103,CD-1 (252),Comprehensive Development,83,,LMS981,541,1704,907.0,BEACH AVE,V6Z 2R3,LOT 83  PLAN LMS981  DISTRICT LOT 5,41  NEW WESTMINSTER UNDIV 715/85707, SHARE IN COM PROP THERIN.,,,523000.0,180000.0,2018.0,430000.0,182000.0,1993.0,1993.0,,30
37546,006-395-767,STRATA,648134930063,64813493,FM-1,Multiple Family Dwelling,63,,VAS1120,526,,1337.0,8TH AVE W,V6H 3W4,LOT 63  PLAN VAS1120  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 1311/825,90 SHARE IN COM PROP THEREIN.,,,941000.0,269000.0,2018.0,842000.0,229000.0,1982.0,1982.0,,7
170600,023-231-254,STRATA,634097050058,63409705,CD-1 (305),Comprehensive Development,58,,LMS2154,526,504,1688.0,CYPRESS ST,V6J 5J1,LOT 58  PLAN LMS2154  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 2349/409,38 SHARE IN COM PROP THEREIN.,,,1584000.0,747000.0,2018.0,1224000.0,755000.0,1995.0,1995.0,,2
149243,011-947-233,LAND,135823580000,13582358,RS-1,One Family Dwelling,41,B,VAP3651,319,,8192.0,CARTIER ST,V6P 4T5,LOT 41  BLOCK B  PLAN VAP3651  DIST,"RICT LOT 319  NWD OF LOTS 1 TO 4, &", DL 323 AND 324.,,,2050000.0,23700.0,2018.0,2090000.0,23700.0,1942.0,1942.0,,12
134902,024-597-741,STRATA,758163980088,75816398,CD-1 (31),Comprehensive Development,88,,LMS3998,526,510,618.0,45TH AVE W,V5Z 4R7,LOT 88  PLAN LMS3998  DISTRICT LOT ,"526  NEW WESTMINSTER GROUP 1, UNDIV", 1437/127611 SHARE IN COMMON PROP T,HEREIN.,,1557000.0,416000.0,2018.0,976000.0,420000.0,1999.0,1999.0,,11
155713,009-687-688,LAND,816165690000,81616569,RS-1,One Family Dwelling,17,L,VAP9322,323,,537.0,61ST AVE W,V6P 2B4,LOT 17  BLOCK L  PLAN VAP9322  DIST,RICT LOT 323  NEW WESTMINSTER,,,,2580000.0,1292000.0,2018.0,2475000.0,1270000.0,2014.0,2014.0,,12
78027,013-910-060,LAND,706159250000,70615925,RS-5,One Family Dwelling,14,618,VAP2309,472,,771.0,23RD AVE W,V5Z 2A7,LOT 14  BLOCK 618  PLAN VAP2309  DI,STRICT LOT 472  NEW WESTMINSTER LOT," 15, BLOCK 618, PLAN VAP2309, DISTR","ICT LOT 472, PORTION E 16.5FT.",,3314000.0,53100.0,2018.0,3301000.0,55400.0,1926.0,1970.0,,9
42172,018-258-204,STRATA,157604960154,15760496,DD,Comprehensive Development,154,,LMS869,,2305,950.0,CAMBIE ST,V6B 5X5,LOT 154  PLAN LMS869  NEW WESTMINST,"ER DISTRICT LOT FALSE CREEK, UNDIV ",418/100020 SHARE IN COMM PROP THERE,IN.,,483000.0,234000.0,2018.0,409000.0,237000.0,1993.0,1993.0,,29
177283,019-179-073,STRATA,120605980194,12060598,CD-1 (322),Comprehensive Development,194,,LMS1866,541,1704,989.0,NELSON ST,V6Z 2S1,LOT 194  PLAN LMS1866  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 459/234,700 SHARE IN COM PROP THEREIN.,,,325000.0,141000.0,2018.0,288000.0,142000.0,1957.0,1985.0,,26
182375,023-973-749,LAND,302742330000,30274233,RS-1,One Family Dwelling,L,14,LMP35994,50,,5623.0,KERR ST,V5R 4B5,LOT L  BLOCK 14  PLAN LMP35994  DIS,TRICT LOT 50  NEW WESTMINSTER,,,,1577000.0,291000.0,2018.0,1567000.0,266000.0,1997.0,1997.0,,23
31463,029-846-307,STRATA,138600890050,13860089,CD-1 (525),Comprehensive Development,50,54,EPS3242,541,1005,777.0,RICHARDS ST,V6B 0M6,LOT 50  BLOCK 54  PLAN EPS3242  DIS,"TRICT LOT 541  NWD GROUP 1, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,TITLEMENT OF THE STRATA LOT AS SHOW,377000.0,254000.0,2018.0,291000.0,254000.0,,,,26
146381,010-266-470,LAND,723030800000,72303080,RS-5,One Family Dwelling,37,59,VAP8161,2027,,4022.0,30TH AVE W,V6S 1X5,LOT 37  BLOCK 59  PLAN VAP8161  DIS,TRICT LOT 2027  NEW WESTMINSTER,,,,4399000.0,1562000.0,2018.0,4619000.0,1550000.0,2010.0,2011.0,,3
98473,014-549-964,LAND,703275670000,70327567,RS-1,One Family Dwelling,23,3,VAP1573,THSL,,2781.0,25TH AVE E,V5R 1H6,LOT 23  BLOCK 3  SECTION 47  PLAN V,AP1573  DISTRICT LOT THSL  NWD PART, NW 1/4.,,,1329000.0,94100.0,2018.0,1319000.0,98300.0,1977.0,1977.0,,22
61450,025-179-144,STRATA,720312080109,72031208,CD-1 (314),Comprehensive Development,109,,LMS4527,36,907,3520.0,CROWLEY DR,V5R 6G9,LOT 109  PLAN LMS4527  DISTRICT LOT," 36  NEW WESTMINSTER GROUP 1, UNDIV", 63/11750 SHARE IN COM PROP THEREIN,.,,234000.0,209000.0,2018.0,161000.0,211000.0,2001.0,2001.0,,23
16999,011-467-584,LAND,636041390000,63604139,RT-8,Two Family Dwelling,19,10,VAP229,540,,3543.0,2ND AVE W,V6R 1J5,LOT 19  BLOCK 10  PLAN VAP229  DIST,RICT LOT 540  NEW WESTMINSTER,,,,2895000.0,322000.0,2018.0,2955000.0,333000.0,1912.0,1970.0,,2
166826,016-148-100,STRATA,640210080002,64021008,RM-4N,Multiple Family Dwelling,2,,VAS2690,264A,102,756.0,GREAT NORTHERN WAY,V5T 1E4,LOT 2  PLAN VAS2690  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 57/7684 ,SHARE IN COM PROP THEREIN.,,,282000.0,115000.0,2018.0,223000.0,97700.0,1971.0,1971.0,,13
17015,005-526-434,STRATA,163633190029,16363319,FCCDD,Comprehensive Development,29,,VAS588,F C,400,673.0,MARKET HILL,V5Z 4B5,LOT 29  PLAN VAS588  DISTRICT LOT F, C  NEW WESTMINSTER UNDIV 1189/4347,2 SHARE IN COM PROP THEREIN.,,,693000.0,308000.0,2018.0,618000.0,325000.0,1978.0,1978.0,,7
153726,027-874-613,STRATA,138606610068,13860661,DD,Comprehensive Development,68,,BCS3395,541,705,1055.0,RICHARDS ST,V6B 0C2,LOT 68  PLAN BCS3395  DISTRICT LOT ,"541  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,503000.0,266000.0,2018.0,424000.0,266000.0,2009.0,2009.0,,29
76835,023-147-687,STRATA,116573940147,11657394,CD-1 (259),Comprehensive Development,147,185,LMS2064,,2001,588.0,BROUGHTON ST,V6G 3E3,LOT 147  BLOCK 185  PLAN LMS2064  N,EW WESTMINSTER UNDIV 875/124953 SHA,RE IN COM PROP THEREIN.,,,1116000.0,223000.0,2018.0,937000.0,225000.0,1995.0,1995.0,,26
57959,026-452-375,STRATA,305810280067,30581028,CD-1 (68),Comprehensive Development,67,,BCS1545,334,405,7088.0,MONT ROYAL SQ,V5S 4X5,LOT 67  PLAN BCS1545  DISTRICT LOT ,334  NEW WESTMINSTER GROUP 1.,,,,660000.0,168000.0,2018.0,515000.0,170000.0,2005.0,2005.0,,25
47497,006-659-861,STRATA,126608030014,12660803,DD,Comprehensive Development,14,,VAS1519,541,,1125.0,HOWE ST,V6Z 2K8,LOT 14  PLAN VAS1519  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 2168/127,076 SHARE IN COM PROP THEREIN.,,,834000.0,250000.0,2018.0,682000.0,262000.0,1985.0,1985.0,,29
181302,024-683-728,STRATA,643130990118,64313099,C-3A,Commercial,118,,LMS4091,526,102,1485.0,6TH AVE W,V6H 4G1,LOT 118  PLAN LMS4091  DISTRICT LOT, 526  NEW WESTMINSTER UNDIV 1396/24,8613 SHARE IN COM PROP THEREIN.,,,1207000.0,453000.0,2018.0,981000.0,470000.0,2000.0,2000.0,,7
155804,003-262-081,LAND,575267060000,57526706,RM-3A,Multiple Family Dwelling,1,12,VAP178,184,,2306.0,ETON ST,V5L 1E1,LOT 1  BLOCK 12  PLAN VAP178  DISTR,ICT LOT 184  NWD,,,,1278000.0,27700.0,2018.0,1215000.0,27700.0,1952.0,1952.0,,14
163500,024-030-678,STRATA,600117080115,60011708,CD-1 (343),Comprehensive Development,115,,LMS3094,185,1606,1288.0,GEORGIA ST W,V6E 4R3,LOT 115  PLAN LMS3094  DISTRICT LOT, 185  NEW WESTMINSTER UNDIV 64/3455,2 SHARE IN COM PROP THEREIN.,,,554000.0,186000.0,2018.0,456000.0,188000.0,1998.0,1998.0,,26
58186,003-679-012,STRATA,70634060002,7063406,RT-8,Two Family Dwelling,2,,VAS199,192,,2770.0,1ST AVE W,V6K 1H3,LOT 2  PLAN VAS199  DISTRICT LOT 19,2  NEW WESTMINSTER UNDIV 50/500 SHA,RE IN COM PROP THEREIN.,,,1427000.0,203000.0,2018.0,1294000.0,186000.0,1975.0,1975.0,,2
6305,006-766-820,STRATA,842087290002,84208729,CD-1 (184),Comprehensive Development,2,,VAS1850,316,,8268.0,TIDEWATER PL,V6P 6R2,LOT 2  PLAN VAS1850  DISTRICT LOT 3,"16  NWD & DL 317, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,2120000.0,412000.0,2018.0,2083000.0,421000.0,1988.0,1988.0,,6
86197,024-707-554,STRATA,590118940372,59011894,CD-1 (409),Comprehensive Development,372,,LMS4107,185,2719,1128.0,HASTINGS ST W,V6E 4R5,LOT 372  PLAN LMS4107  DISTRICT LOT, 185  NEW WESTMINSTER UNDIV 423/325,467 SHARE IN COM PROP THEREIN.,,,236000.0,107000.0,2018.0,145000.0,109000.0,1999.0,2000.0,,26
165450,025-402-994,STRATA,648163970083,64816397,C-3A,Commercial,83,,LMS4665,526,307,633.0,8TH AVE W,V5Z 1C7,LOT 83  PLAN LMS4665  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 37/6981 ,SHARE IN COM PROP THEREIN.,,,269000.0,86500.0,2018.0,212000.0,87400.0,2002.0,2002.0,,7
80952,019-092-024,STRATA,124608970122,12460897,DD,Comprehensive Development,122,,LMS1757,541,1102,1177.0,HORNBY ST,V6Z 2E9,LOT 122  PLAN LMS1757  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 1000/10,6152 SHARE IN COM PROP THEREIN.,,,666000.0,306000.0,2018.0,507000.0,313000.0,1981.0,1989.0,,29
